family,tol,subset,solver_id,run_time_seconds,mode,shift,max_value,success_count,failure_count,max_value_by_dataset,label
lpbig,1e-5,all,qpo3_1e-5,679.9306722180037,penalized,10.0,5400.0,19,18,,qpo3
lpbig,1e-5,all,scs_cpu_1e-5,695.7453358216712,penalized,10.0,5400.0,20,17,,"SCS (CPU, MKL Pardiso)"
lpbig,1e-5,all,clarabel_1e-5,817.023388089427,penalized,10.0,5400.0,20,17,,Clarabel
lpbig,1e-5,all,pdlp_1e-5,1225.5006149547628,penalized,10.0,5400.0,14,23,,PDLP (OR-Tools)
lpbig,1e-5,all,piqp_1e-5,1352.2205932310562,penalized,10.0,5400.0,12,25,,PIQP
lpbig,1e-5,all,highs_1e-5,2888.821867195608,penalized,10.0,5400.0,9,28,,HiGHS
lpbig,1e-5,all,cuopt_1e-5,3049.992192977694,penalized,10.0,5400.0,4,33,,cuOpt (GPU)
lpbig,1e-5,largest,qpo3_1e-5,1642.972773482863,penalized,10.0,5400.0,4,6,,qpo3
lpbig,1e-5,largest,scs_cudss_1e-5,1759.592448287279,penalized,10.0,5400.0,3,7,,"SCS (GPU, cuDSS)"
lpbig,1e-5,largest,qtqp_cudss_1e-5,1775.6344340968135,penalized,10.0,5400.0,3,7,,"QTQP (GPU, cuDSS)"
lpbig,1e-5,largest,cuopt_1e-5,2954.2363207750022,penalized,10.0,5400.0,1,9,,cuOpt (GPU)
lpbig,1e-5,largest,qtqp_mkl_1e-5,3320.499955782278,penalized,10.0,5400.0,2,8,,"QTQP (CPU, MKL Pardiso)"
lpbig,1e-5,largest,scs_cpu_1e-5,3428.846661589208,penalized,10.0,5400.0,2,8,,"SCS (CPU, MKL Pardiso)"
lpbig,1e-5,largest,highs_1e-5,3444.011750311589,penalized,10.0,5400.0,1,9,,HiGHS
lpbig,1e-5,largest,clarabel_1e-5,3453.8116071067707,penalized,10.0,5400.0,2,8,,Clarabel
lpbig,1e-5,largest,piqp_1e-5,3797.8316083553204,penalized,10.0,5400.0,1,9,,PIQP
lpbig,1e-5,largest,pdlp_1e-5,4717.23036676739,penalized,10.0,5400.0,1,9,,PDLP (OR-Tools)
