dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,highs_1e-4,pdlp_1e-4,pdlp_1e-5,piqp_1e-4,qpo3_1e-4,qpo3_1e-6,qpo3_1e-8,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_mkl_1e-4,qtqp_mkl_1e-6,scs_cpu_1e-4,scs_cpu_1e-5,scs_cudss_1e-4,scs_cudss_1e-5,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,highs_1e-4_status,pdlp_1e-4_status,pdlp_1e-5_status,piqp_1e-4_status,qpo3_1e-4_status,qpo3_1e-6_status,qpo3_1e-8_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status
mittelmann1,neos-5052403-cygnet,32868.0,71136.0,4931172.0,0.0,446.59,311.69,2.36,3.59,1443.88,144.86,305.02,202.04,8.71,9.8,7.67,9.41,9.79,57.85,75.36,113.28,111.14,13.23,13.34,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann1,physiciansched3-3,79555.0,345781.0,1142033.0,0.0,1764.51,1764.51,12.1,18.56,1800.05,1800.64,1800.59,1890.0,182.27,252.68,203.41,49.46,84.2,735.04,1298.13,1820.57,1818.22,1804.75,1805.29,max_iter_reached,max_iter_reached,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
mittelmann1,s100,364417.0,379150.0,2142334.0,0.0,490.16,690.82,10.62,9.36,1800.13,1800.88,1800.88,237.05,196.95,241.2,529.36,56.76,62.35,673.11,704.48,64.24,773.22,41.53,314.62,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,optimal_inaccurate,optimal,optimal,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann1,supportcase10,14770.0,180454.0,569852.0,0.0,165.29,164.11,2.25,3.14,423.57,12.27,21.84,1890.0,36.22,34.69,28.67,9.71,13.36,91.33,144.99,327.55,1807.96,107.52,1802.72,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate
mittelmann1,thk_63,7701112.0,13395499.0,29293526.0,0.0,1890.0,1890.0,47.92,52.31,1801.99,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit
mittelmann1,tpl-tub-ws1617,747601.0,1902216.0,5468168.0,0.0,1819.0,1819.0,10.65,18.52,1800.48,1776.18,1803.68,1890.0,590.81,622.73,673.98,267.94,364.1,310.82,607.02,294.33,737.47,158.7,532.48,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann2,L1_sixm1000obs,1426256.0,4509196.0,15688816.0,0.0,,,32.76,33.1,1800.9,812.33,1393.76,,,,,,,1890.0,1890.0,1890.0,1890.0,,,,,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,optimal,worker_error,,,,worker_error,worker_error,time_limit,time_limit,time_limit,time_limit,worker_error,worker_error
mittelmann2,L1_sixm250obs,428032.0,1414101.0,4708352.0,0.0,,,7.57,5.68,1800.3,86.06,248.24,,,,,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,920.32,830.72,,,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,optimal,worker_error,,,,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal
mittelmann2,L2CTA3D,10000000.0,10210000.0,40000000.0,0.0,1890.0,1890.0,27.47,23.84,1890.0,58.9,56.33,1890.0,1890.0,1890.0,1890.0,1515.79,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,primal_infeasible,primal_infeasible,time_limit,time_limit,time_limit,time_limit,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit
mittelmann2,Linf_520c,69004.0,162328.0,635195.0,0.0,13.11,11.38,5.78,5.7,720.83,54.9,107.92,1890.0,3.71,3.11,3.37,423.95,298.28,1890.0,1890.0,347.67,296.54,44.33,71.55,solver_error,solver_error,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,time_limit,solver_error,solver_error,solver_error,max_iter_reached,max_iter_reached,time_limit,time_limit,optimal,optimal,optimal,optimal
mittelmann2,brazil3,23968.0,38614.0,157152.0,0.0,6.15,6.1,0.94,,1800.01,9.97,10.45,1.94,2.4,1.21,1.98,2.64,2.71,2.21,2.2,1.36,1.32,1.15,1.2,optimal,optimal,optimal_inaccurate,worker_error,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann2,rmine15,42438.0,400833.0,922170.0,0.0,321.84,327.08,3.09,5.56,1051.01,22.99,60.61,1890.0,1805.12,1473.91,1808.04,35.21,41.02,1890.0,1890.0,1890.0,1890.0,90.82,108.6,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,max_iter_reached,time_limit,optimal,optimal,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate
mittelmann2,s250r10,273142.0,284104.0,1591749.0,0.0,304.46,347.54,7.93,7.7,551.18,1566.54,1653.44,53.68,139.15,141.35,323.7,47.74,67.17,127.57,89.27,80.37,165.66,37.67,73.81,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann2,s82,1690631.0,1778509.0,8713239.0,0.0,1826.67,1835.58,121.74,119.98,1800.73,1803.71,1803.41,1890.0,512.17,393.32,487.0,375.14,643.08,1890.0,1890.0,1824.79,1827.59,797.22,1835.47,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,solver_error,solver_error,solver_error,optimal,optimal,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
mittelmann2,savsched1,328575.0,624564.0,2099082.0,0.0,267.41,265.07,5.75,3.98,1800.14,35.32,36.27,45.93,103.58,57.3,100.91,29.25,29.09,65.0,52.98,68.34,666.18,24.8,107.45,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann2,set-cover-model,1102008.0,1112008.0,21544276.0,0.0,1825.8,1825.8,23.02,35.29,1801.62,24.41,20.04,1890.0,582.8,828.29,751.04,298.06,459.6,884.45,1014.6,473.47,691.99,163.52,203.54,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,dual_infeasible,dual_infeasible,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann2,square41,62234.0,102394.0,13628660.0,0.0,361.64,404.56,20.31,20.13,50.88,1801.79,1801.47,151.44,137.59,64.57,126.38,23.45,26.21,226.49,213.34,369.34,438.97,39.84,48.6,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann2,woodlands09,382147.0,576746.0,3028150.0,0.0,94.97,98.13,4.2,2.98,1800.18,56.6,117.68,108.01,62.78,42.07,66.5,23.66,21.61,50.53,35.47,13.22,17.55,10.53,12.14,solver_error,solver_error,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
