dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,pdlp_1e-4,pdlp_1e-5,pdlp_1e-6,piqp_1e-4,piqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,pdlp_1e-4_status,pdlp_1e-5_status,pdlp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
miplib_relax,neos-5052403-cygnet,32868.0,71136.0,4931172.0,0.0,340.32,320.52,,3.5,4.51,300.16,300.14,300.04,300.14,300.09,129.3,276.23,300.6,192.22,206.85,10.11,9.61,9.14,58.5,95.04,110.06,88.86,104.12,113.62,13.77,12.37,12.98,time_limit,time_limit,worker_error,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,optimal,time_limit,time_limit,optimal_inaccurate,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-5075914-elvire,5003.0,8265.0,15985.0,0.0,0.08,0.1,0.46,0.6,0.47,0.06,0.07,4.92,9.34,7.98,0.78,0.81,0.97,0.04,0.05,,,,,,,0.24,0.25,0.28,0.78,0.59,0.67,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,,,,,,,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-5093327-huahum,40640.0,92480.0,825408.0,0.0,92.86,83.88,0.59,0.88,0.59,0.79,0.88,319.42,316.65,382.01,37.93,47.39,51.12,390.0,390.0,5.33,4.94,4.08,11.09,14.43,15.7,45.18,43.93,54.05,19.59,16.76,17.99,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-5104907-jarama,345856.0,835674.0,2399404.0,0.0,319.11,320.28,2.95,6.11,8.22,83.56,170.77,300.14,346.64,300.23,178.37,301.3,301.54,390.0,390.0,86.1,101.89,117.24,390.0,390.0,390.0,363.3,338.26,354.73,144.33,287.82,310.78,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal
miplib_relax,neos-5107597-kakapo,3114.0,9612.0,22506.0,0.0,0.04,0.06,0.76,0.98,0.77,0.13,0.15,0.07,0.09,0.08,0.09,0.09,0.11,390.0,140.87,1.66,1.7,1.47,0.19,0.24,0.7,0.12,0.12,0.15,0.64,0.36,0.37,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-5114902-kasavu,710164.0,1671334.0,4950540.0,0.0,325.73,323.78,3.73,3.82,3.78,168.48,254.88,300.26,300.21,300.15,60.61,72.13,86.79,390.0,390.0,175.2,145.55,144.65,390.0,390.0,390.0,390.0,390.0,390.0,173.28,153.14,158.38,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal
miplib_relax,neos-5188808-nattai,14544.0,43996.0,148230.0,0.0,4.03,4.06,0.53,0.67,0.52,0.47,0.49,0.53,0.74,0.67,0.33,0.34,0.42,0.98,1.03,2.23,2.15,1.47,1.22,1.26,1.29,0.86,0.76,0.85,1.21,0.77,0.76,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-5195221-niemur,14546.0,56802.0,191132.0,0.0,15.9,13.48,0.4,0.61,0.49,0.67,0.62,1.15,2.31,2.48,0.48,0.49,0.55,5.1,5.55,2.5,2.44,2.07,1.79,1.8,2.43,1.47,1.45,1.59,1.51,1.04,1.03,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-631710,167056.0,336632.0,1001222.0,0.0,3.41,4.59,1.66,3.04,1.63,23.7,23.34,29.96,83.88,115.16,76.55,95.85,77.01,2.8,2.98,8.48,6.92,5.94,9.2,9.1,10.08,11.7,12.13,10.71,11.52,7.25,7.18,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-662469,18235.0,19320.0,218290.0,0.0,1.38,2.22,0.89,1.29,1.04,1.12,0.82,3.19,6.31,13.15,16.99,28.3,47.19,0.72,0.74,2.91,3.09,2.4,1.85,2.29,2.64,3.16,6.25,6.78,3.8,4.68,5.34,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-787933,236376.0,238273.0,534696.0,0.0,1.96,2.62,0.43,0.59,0.5,0.5,0.54,1.37,2.73,2.15,5.39,7.31,6.21,1.48,1.52,11.05,8.88,6.73,12.24,9.91,12.37,5.11,4.48,5.04,6.38,3.9,3.76,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-827175,32504.0,46691.0,143294.0,0.0,6.08,9.05,0.58,0.89,0.63,0.67,0.58,300.03,300.01,300.01,4.97,5.5,12.65,2.12,2.12,3.02,3.16,2.53,1.91,2.67,3.0,2.75,4.86,35.05,2.45,2.08,14.73,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-848589,550539.0,552023.0,1651617.0,0.0,96.16,118.39,1.64,2.02,1.54,2.12,2.19,300.05,300.1,300.1,301.18,301.03,301.18,17.68,16.88,11.69,30.11,23.83,12.55,36.32,41.44,15.99,28.79,54.84,19.28,24.76,41.54,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-860300,1385.0,2235.0,385714.0,0.0,7.66,10.71,0.35,0.51,0.34,0.28,0.3,113.16,203.4,300.01,13.12,64.87,85.02,6.09,6.08,1.97,1.96,1.31,2.09,2.67,2.85,2.35,2.37,2.4,1.42,1.07,1.18,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-873061,175288.0,268648.0,525864.0,0.0,50.2,62.07,1.32,1.69,1.44,2.0,2.06,170.01,192.56,300.03,12.5,229.91,300.44,8.5,8.61,10.37,12.15,10.56,15.55,21.47,23.49,49.45,41.95,53.18,36.24,24.72,24.23,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-911970,888.0,995.0,4296.0,0.0,0.01,0.01,0.33,0.54,0.3,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,1.56,1.55,0.99,0.05,0.06,0.06,0.02,0.03,0.03,0.53,0.34,0.33,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-933966,31762.0,43809.0,212380.0,0.0,16.77,15.83,0.41,0.56,0.45,12.06,5.86,38.01,67.44,125.01,1.2,1.38,1.47,230.8,205.72,3.42,3.19,2.4,3.28,3.16,3.4,2.59,1.89,2.69,2.24,1.73,1.71,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-950242,5760.0,39984.0,109920.0,0.0,8.7,8.05,0.41,0.59,0.47,0.29,0.28,0.52,0.65,0.99,0.52,0.55,0.67,1.51,1.57,2.3,2.26,1.93,2.16,2.01,2.35,0.92,0.86,0.84,1.21,0.86,0.83,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-957323,57756.0,61513.0,557412.0,0.0,11.15,19.37,0.51,0.85,0.76,10.14,18.71,25.37,79.14,221.57,3.53,5.97,18.17,2.4,2.46,4.5,5.76,5.67,3.68,5.58,7.26,36.7,44.24,77.44,31.87,30.16,37.21,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-960392,59376.0,64120.0,248879.0,0.0,0.89,1.13,0.72,0.98,0.79,3.0,3.32,4.03,4.41,17.11,1.9,3.8,3.82,0.84,0.91,3.63,3.42,2.62,3.18,3.23,3.62,4.38,7.37,45.71,2.7,4.77,24.81,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos17,535.0,1021.0,5466.0,0.0,0.01,0.02,0.29,0.6,0.35,0.02,0.02,0.02,0.05,0.06,0.11,0.42,0.49,0.01,0.01,1.69,1.56,1.53,0.06,0.07,0.08,0.04,0.05,0.05,0.6,0.35,0.37,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos5,63.0,126.0,2079.0,0.0,0.0,0.0,0.28,0.43,0.28,0.01,0.01,0.03,0.39,7.57,0.01,0.01,0.02,0.0,0.0,1.55,1.53,1.0,0.03,0.03,0.03,0.01,0.01,0.01,0.51,0.3,0.31,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos8,23228.0,69552.0,336408.0,0.0,3.83,5.71,,0.95,0.73,0.5,0.48,8.1,14.57,48.55,6.57,9.68,12.0,1.31,1.31,7.11,5.09,4.33,7.42,6.88,7.63,6.57,7.16,7.43,4.85,4.4,3.07,optimal,optimal,worker_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos859080,160.0,324.0,1440.0,0.0,0.0,0.0,0.31,0.46,0.31,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,1.58,1.52,0.93,0.03,0.03,0.03,0.01,0.01,0.01,0.53,0.34,0.29,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,net12,14115.0,28136.0,94499.0,0.0,11.89,10.68,0.7,,0.78,0.6,0.48,17.87,300.01,300.01,2.17,5.2,7.22,14.78,15.44,2.88,2.73,2.09,3.73,3.84,3.93,2.96,2.84,3.16,2.25,1.67,1.5,optimal,optimal,optimal_inaccurate,worker_error,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,netdiversion,129180.0,248769.0,744462.0,0.0,128.88,115.33,,1.44,1.36,10.47,8.31,300.02,300.03,300.02,97.24,132.1,219.46,16.89,17.88,12.37,11.35,183.74,19.83,22.94,390.0,223.8,302.35,302.59,64.06,205.98,232.74,optimal,optimal,worker_error,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,nexp-150-20-8-5,20115.0,24735.0,62580.0,0.0,0.16,0.21,0.33,0.45,0.33,0.16,0.15,0.42,0.44,0.48,0.53,0.58,0.75,0.11,0.11,2.04,1.94,1.43,0.81,0.76,0.8,0.81,0.78,0.88,1.26,0.92,0.93,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,ns1116954,12648.0,144639.0,423230.0,0.0,50.62,52.67,0.58,0.88,0.6,95.69,15.76,386.3,362.52,310.52,1.13,1.12,1.09,390.0,390.0,9.88,390.0,376.23,236.17,390.0,390.0,48.46,51.55,51.77,5.27,4.32,4.76,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,optimal,time_limit,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,ns1208400,2883.0,7169.0,84626.0,0.0,4.61,3.86,0.46,0.66,0.54,0.71,0.75,7.47,20.63,30.29,0.99,0.96,1.06,19.01,18.42,1.92,1.94,1.41,1.22,1.25,1.28,0.57,0.52,0.6,1.06,0.67,0.67,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,ns1644855,30200.0,50698.0,2120696.0,0.0,318.76,320.81,5.6,6.36,6.71,300.08,300.07,361.51,390.0,390.0,130.06,187.8,197.8,390.0,390.0,29.72,37.05,37.44,390.0,390.0,390.0,390.0,390.0,390.0,9.74,8.41,8.48,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal
miplib_relax,ns1760995,17956.0,633210.0,1871834.0,0.0,310.77,317.85,112.06,301.52,301.13,247.09,300.07,300.05,300.06,300.07,301.08,300.84,301.15,22.56,22.89,26.8,32.94,37.79,31.72,48.1,83.28,303.81,303.44,303.95,306.88,305.01,305.12,time_limit,time_limit,optimal_inaccurate,time_limit,time_limit,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal_inaccurate
miplib_relax,ns1830653,1629.0,4561.0,102562.0,0.0,2.26,2.05,0.74,0.96,0.7,0.27,0.27,5.79,14.04,47.8,1.65,1.59,1.76,2.68,2.84,1.91,1.98,1.28,1.7,1.66,1.91,3.43,2.35,3.28,1.93,2.84,1.92,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,ns1952667,13264.0,13305.0,348907.0,0.0,0.34,0.39,0.57,0.78,0.58,0.94,0.94,0.17,0.17,0.16,3.2,3.13,3.45,0.25,0.23,1.9,1.95,1.44,0.65,0.69,1.11,0.19,0.2,0.23,0.78,0.45,0.46,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,nu25-pr12,5868.0,8181.0,23580.0,0.0,0.16,0.23,0.35,0.53,0.43,0.06,0.06,1.37,3.26,4.67,0.54,0.85,0.88,0.06,0.06,1.94,1.8,1.45,0.46,0.49,0.55,0.72,1.04,0.75,1.59,0.83,0.93,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,nursesched-medium-hint03,34248.0,48310.0,657048.0,0.0,16.72,19.38,0.61,0.94,0.78,8.43,7.35,77.89,300.01,300.01,38.68,39.09,69.08,3.48,3.59,4.12,3.75,5.37,5.14,5.09,6.38,5.97,4.51,6.83,3.64,2.41,2.56,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,nursesched-sprint02,10250.0,13772.0,214250.0,0.0,4.77,5.23,,,0.5,0.44,0.38,28.59,300.0,300.01,3.81,4.93,5.74,390.0,390.0,2.7,2.11,1.63,1.67,1.78,1.87,1.29,1.17,1.32,1.54,0.96,1.01,optimal,optimal,worker_error,worker_error,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,nw04,87482.0,87518.0,724148.0,0.0,2.87,3.8,0.74,1.0,0.71,1.12,1.09,82.12,99.96,300.01,105.14,275.64,300.19,11.77,11.32,6.93,5.52,5.0,6.14,6.89,7.09,5.53,5.46,6.31,5.51,3.59,3.91,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,opm2-z10-s4,6250.0,166883.0,377490.0,0.0,41.55,47.34,,1.31,1.28,47.25,49.86,298.66,300.01,300.02,6.16,10.35,24.52,258.91,235.25,8.27,7.31,7.25,123.61,131.78,176.59,307.45,304.23,306.01,302.26,301.58,301.81,optimal,optimal,worker_error,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,dual_infeasible_inaccurate,dual_infeasible_inaccurate,dual_infeasible_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
miplib_relax,p200x1188c,2376.0,3764.0,7128.0,0.0,0.03,0.04,0.62,0.73,0.64,0.02,0.02,0.06,0.1,0.09,0.34,0.41,0.6,0.02,0.01,1.68,1.79,1.14,0.15,0.17,0.16,0.11,0.09,0.11,0.64,0.39,0.39,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,peg-solitaire-a3,4552.0,9139.0,32939.0,0.0,3.89,3.34,0.53,0.78,0.54,0.66,0.63,0.1,0.1,0.11,0.91,2.67,2.76,0.29,0.31,1.82,1.66,1.26,0.36,0.35,0.4,0.16,0.14,0.17,0.66,0.42,0.43,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,pg,2700.0,2825.0,7900.0,0.0,0.03,0.04,0.32,0.43,0.31,0.02,0.02,0.04,0.07,0.1,0.2,0.29,0.33,0.02,0.02,1.64,1.8,1.05,0.12,0.13,0.15,0.13,0.11,0.13,0.67,0.4,0.43,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,pg5_34,2600.0,2825.0,10300.0,0.0,0.03,0.04,0.3,0.51,0.33,0.02,0.02,0.08,0.24,3.47,0.07,0.15,0.26,0.01,0.02,1.6,1.66,1.08,0.12,0.13,0.14,0.11,0.1,0.15,0.64,0.38,0.42,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,physiciansched3-3,79555.0,345781.0,1142033.0,0.0,316.2,312.92,12.07,18.57,18.37,300.04,300.05,325.23,359.16,390.0,300.61,300.58,300.57,390.0,390.0,48.89,67.81,67.72,390.0,390.0,390.0,312.62,310.37,312.48,305.77,304.15,304.2,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
miplib_relax,physiciansched6-2,111827.0,280162.0,592085.0,0.0,10.59,9.92,,1.06,,4.6,8.7,300.02,302.72,300.05,300.46,300.39,300.44,51.87,48.75,14.55,14.72,23.79,23.89,35.54,80.95,21.35,302.18,302.35,23.76,302.54,302.55,solver_error,solver_error,worker_error,optimal_inaccurate,worker_error,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,piperout-08,10399.0,24988.0,55358.0,0.0,0.46,0.64,0.67,0.82,0.64,0.22,0.24,300.0,300.0,300.0,0.16,300.03,300.04,0.2,0.21,2.19,2.34,7.85,0.82,1.22,8.42,2.31,6.01,300.2,5.09,1.95,13.6,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,piperout-27,11659.0,30101.0,66321.0,0.0,0.67,0.53,0.95,0.95,0.94,0.29,0.8,73.57,53.0,300.0,300.04,300.04,300.04,0.31,0.38,2.76,2.6,2.17,1.46,1.47,2.14,1.38,1.26,2.86,2.06,2.25,2.09,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,pk1,86.0,131.0,1001.0,0.0,0.0,0.0,0.3,0.4,0.29,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,1.57,1.49,1.0,0.02,0.02,0.03,0.01,0.0,0.01,0.51,0.3,0.28,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,proteindesign121hz512p9,159145.0,159446.0,788594.0,0.0,9.9,12.67,1.21,1.75,1.16,2.49,2.49,300.02,300.02,300.03,9.41,300.24,300.27,2.29,2.28,20.84,53.78,65.02,22.47,60.72,133.26,27.82,28.77,29.68,19.77,22.78,46.63,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,proteindesign122trx11p8,127326.0,127580.0,630753.0,0.0,10.88,15.6,1.14,1.35,1.08,1.64,1.65,47.34,47.66,92.25,300.27,300.19,300.23,1.68,1.73,7.93,26.83,47.16,7.14,34.87,83.87,9.75,18.48,12.11,12.69,9.91,11.45,optimal,optimal,optimal,optimal,optimal,optimal,optimal,primal_infeasible,primal_infeasible,primal_infeasible,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,qap10,4150.0,5970.0,22350.0,0.0,2.13,2.9,0.48,0.94,0.83,7.12,7.13,1.47,3.51,11.33,0.16,0.33,1.04,4.24,4.41,1.94,2.01,1.63,1.34,1.74,2.41,1.82,1.49,1.98,1.76,1.26,1.46,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
