dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,pdlp_1e-4,pdlp_1e-5,pdlp_1e-6,piqp_1e-4,piqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,pdlp_1e-4_status,pdlp_1e-5_status,pdlp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
miplib_relax,neos-2075418-temuka,122304.0,471906.0,7732565.0,0.0,323.22,333.86,8.2,9.35,7.97,20.41,39.94,300.17,300.12,300.18,301.35,301.29,301.38,390.0,390.0,42.33,34.82,32.49,186.26,215.02,222.12,126.84,123.02,129.18,38.29,41.58,36.18,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-2657525-crna,524.0,866.0,2214.0,0.0,0.01,0.01,0.46,0.54,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.0,0.01,2.19,1.64,1.03,0.05,0.05,0.07,0.03,0.03,0.03,0.52,0.33,0.35,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-2746589-doon,50936.0,82462.0,322004.0,0.0,1.89,2.56,0.83,1.08,0.89,2.5,3.33,5.5,166.86,121.16,177.98,239.36,300.12,0.67,0.7,4.44,3.73,3.33,2.85,3.39,3.77,4.27,50.61,300.5,5.0,32.09,180.54,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal_inaccurate
miplib_relax,neos-2978193-inde,20800.0,21196.0,62400.0,0.0,0.19,0.27,0.42,0.54,0.4,0.15,0.16,0.28,0.58,0.47,0.84,1.03,1.07,0.13,0.15,2.51,2.04,1.39,0.74,0.79,0.82,0.63,0.66,0.67,1.21,0.74,0.78,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-2987310-joes,27837.0,56852.0,608128.0,0.0,130.94,100.58,1.78,1.75,1.76,2.05,1.93,300.02,300.02,300.02,300.1,300.12,300.11,19.96,24.25,5.29,5.67,6.1,9.21,17.09,23.47,79.51,276.2,301.66,5.59,7.88,301.59,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3004026-krka,17030.0,29575.0,58890.0,0.0,0.11,0.16,0.33,0.45,0.35,0.27,0.23,0.06,0.08,0.08,0.12,0.1,0.13,0.08,0.09,1.94,1.92,1.46,0.62,0.66,0.85,0.2,0.29,0.24,0.71,0.44,0.47,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3024952-loue,3255.0,6960.0,20565.0,0.0,1.27,1.43,0.64,0.91,0.66,0.26,0.3,0.38,1.15,1.14,0.63,0.73,0.88,0.23,0.24,1.96,1.82,1.31,0.38,0.45,0.45,0.51,0.51,0.51,1.08,0.67,0.71,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3046615-murg,274.0,770.0,1538.0,0.0,0.0,0.0,0.36,0.49,0.35,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.0,1.58,1.51,1.0,0.04,0.04,0.04,0.02,0.02,0.02,0.6,0.33,0.36,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3083819-nubu,8644.0,13369.0,32692.0,0.0,0.16,0.21,0.32,0.49,0.36,0.07,0.07,3.62,7.07,222.65,2.85,12.42,31.25,0.07,0.07,2.06,1.84,1.4,0.52,0.6,0.59,0.63,0.68,0.68,1.45,0.99,0.98,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3216931-puriri,3555.0,9544.0,95246.0,0.0,23.33,26.34,0.76,1.19,1.3,3.91,5.03,7.5,123.77,300.0,2.1,4.48,4.91,4.98,5.36,2.38,2.39,2.01,1.65,2.46,3.54,1.54,2.42,300.22,1.64,1.68,300.44,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
